Dates;Item1;Item2;Item3;Item4;Item5;Item6;Item7;Item8;Item9;Item10
2006-12-26;153;117;87;44.455;33;46.218;29;29.331999999999997;15;12
2006-12-27;138;143;79;45.166000000000004;34;30.808000000000003;14;26.965999999999998;3;42
2006-12-28;300;117;89;49.00899999999999;44;30.698;28;33.116;17;60
2006-12-29;278;105;66;60.288000000000004;32;46.136;25;46.098;19;24
2006-12-30;233;141;83;84.98200000000001;74;66.178;18;64.692;41;72
2006-12-31;218;197;62;100.11200000000001;65;107.492;17;72.538;33;0
2007-01-01;156;135;64;95.925;68;57.934;30;28.854;19;0
2007-01-02;138;117;62;43.775;63;52.693000000000005;19;24.478;14;18
2007-01-03;148;98;67;50.75;57;43.406000000000006;15;15.704;18;6
2007-01-04;147;86;67;54.02;47;53.018;9;21.846;15;6
2007-01-05;146;124;71;50.4;59;74.212;15;33.082;2;12
2007-01-06;206;122;70;68.115;70;70.248;15;57.894;23;30
2007-01-07;279;147;56;95.855;71;75.10600000000001;29;69.646;38;0
2007-01-08;274;137;46;79.318;74;57.608000000000004;41;38.224000000000004;13;0
2007-01-09;156;78;55;45.563;26;33.544000000000004;23;26.914;5;18
2007-01-10;146;88;52;49.158;42;41.864;29;23.535999999999998;9;24
2007-01-11;173;90;37;45.019;54;62.61;27;30.718000000000004;5;36
2007-01-12;148;81;37;41.431000000000004;51;39.166;36;33.402;20;42
2007-01-13;209;87;50;56.756;52;61.302;28;54.106;32;54
2007-01-14;198;144;44;117.212;74;56.478;43;45.79;14;0
2007-01-15;164;138;40;91.40299999999999;78;56.964;35;36.516;16;30
2007-01-16;122;83;50;40.505;75;51.806000000000004;15;21.09;13;36
2007-01-17;149;84;42;43.34;61;55.378;24;23.576;3;36
